product_id,name,regular_price,promo_price,brand,city
1000112595,Кисломолочный напиток Имунеле For Kids Малиновый пломбир 1.5% 95мл,,34.99,Имунеле,moscow
1000518913,Сырок глазированный А.Ростагрокомплекс кокос 26% 50г,,72.99,А.Ростагрокомплекс,moscow
1000151122,Масло сливочное Асеньевская Ферма 82.5% 180г,269.99,179.99,Асеньевская Ферма,moscow
1000008104,Молочный коктейль Чудо Шоколад 2% 950г,,169.99,Чудо,moscow
1000070834,Майонезный соус Слобода Постный 56% 200мл,79.99,59.99,Слобода,moscow
1000172948,Сырок глазированный Ростагроэкспорт с ванилином 5% 45г,,39.99,А.Ростагрокомплекс,moscow
1000170158,Напиток сывороточный J7 Мажитэль Арбуз и дыня 950мл,159.99,104.99,Мажитэль,moscow
1000578839,Плавленый сыр Сливочный 50% Landkaas 350г,249.99,199.99,Landkaas,moscow
1000201448,Йогурт питьевой Чудо черника малина 1.9% 260г,79.99,62.99,Чудо,moscow
9409610181,Сыр творожный Almette Сливочный 60% 150г,,129.99,Almette,moscow
1000207987,Молочный коктейль малиновый Фрутоняня 2.1% 200мл,,57.32,Фрутоняня,moscow
1000572260,Десерт творожный Чудо вишня-шоколад 4.4% 100г,74.99,52.99,Чудо,moscow
1000201630,Йогурт питьевой Чудо Дыня манго персик 1.9% 260г,84.99,62.99,Чудо,moscow
1000260878,Продукт молочный Моя цена Сгущенка с сахаром 270г,,45.99,Моя цена,moscow
1000048677,Молочный коктейль Чудо Клубника 2% 950мл,,139.99,Чудо,moscow
1000153883,Сыр Ла Паулина Аргентина Гойя 40% весовой,,399.97,La Paulina,moscow
1899800045,Продукт творожный Даниссимо с хрустящими шариками 7.2% 130г,,64.99,Даниссимо,moscow
1000077734,Майонез Махеевъ Провансаль с лимонным соком 67% 380г,149.99,109.99,Махеевъ,moscow
1799700138,Майонез Московский Провансаль классический 67% 96г,46.99,34.99,Московский Провансаль,moscow
1000505365,Сыр Sveza творожный с авокадо 60% 150г,149.99,114.99,Sveza,moscow
1000569494,Творог детский со вкусом Ягодный пломбир 4.2% с 6 месяцев Фруто Kids 90г,,59.99,Фрутоkids,moscow
1000350169,Сливки Parmalat ультрапастеризованные 11% 500г,,169.99,Parmalat,moscow
1000472409,Напиток овсяный Nemoloko Ваниль 200мл,,29.99,Nemoloko,moscow
1899800825,Молоко детское Тема ультрапастеризованное 3.2% 200мл,,42.99,Тема,moscow
1862400011,Сыр плавленый Hochland с ветчиной 55% 400г,399.99,289.99,Hochland,moscow
8000018944,Молоко Алексеевское сгущенное вкус печенье 8.5% 270г,179.99,149.99,Алексеевское,moscow
1000206973,Молочный коктейль банановый Фрутоняня 2.1% 200мл,,57.32,Фрутоняня,moscow
1000230403,Молочная каша 5 злаков с персиком с 6 месяцев Фрутоняня 200мл,,79.98,Фрутоняня,moscow
1000496462,Крем Альпенгурт взбитый Кулинар ультрапастеризованный 26.5% 250г,,399.99,Альпенгурт,moscow
1899910132,Сыр творожный Violette Ароматная зелень 70% 140г,,147.99,Violette,moscow
1000320906,Молочный коктейль Растишка детский со вкусом клубники 2% 210мл,,55.99,Растишка,moscow
1000089124,Молочный коктейль Чудо Шоколад 2% 960г,,199.99,Чудо,moscow
1059990188,Молочно-пшеничная каша с 6 месяцев Фрутоняня 200мл,,79.98,Фрутоняня,moscow
1000424624,Молокосодержащий продукт Станицыно Коса копченая 40% весовой,449.97,359.97,Станицыно,moscow
